STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WESF,WSF1,WSF2,WSF5,WSFG,WSFM
US1NYQN0002,2/2/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/3/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/4/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/5/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/6/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/7/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/8/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/9/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/10/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/11/2011,New York,Queens,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/12/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/13/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/14/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/15/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/16/2011,New York,Queens,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/17/2011,New York,Queens,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/18/2011,New York,Queens,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/19/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/20/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/21/2011,New York,Queens,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/22/2011,New York,Queens,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/23/2011,New York,Queens,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/24/2011,New York,Queens,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/25/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/26/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/27/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/28/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/29/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,11/30/2011,New York,Queens,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/1/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/2/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/3/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/4/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/5/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/6/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/7/2011,New York,Queens,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/8/2011,New York,Queens,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/9/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/10/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/11/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/12/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/13/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/14/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/15/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/16/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/17/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/18/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
US1NYQN0002,12/19/2011,New York,Queens,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
