STATION,DATE,STATE,COUNTY,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV03,WV20
USC00084050,11/1/2002,Florida,Broward,,,,,,0.25,0,0,,87,74,76,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/2/2002,Florida,Broward,,,,,,0,0,0,,84,72,73,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/3/2002,Florida,Broward,,,,,,0,0,0,,82,68,69,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/4/2002,Florida,Broward,,,,,,0,0,0,,83,69,77,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/5/2002,Florida,Broward,,,,,,0,0,0,,86,78,79,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/6/2002,Florida,Broward,,,,,,0,0,0,,87,75,76,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/7/2002,Florida,Broward,,,,,,0,0,0,,91,60,60,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/8/2002,Florida,Broward,,,,,,0,0,0,,79,60,64,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/9/2002,Florida,Broward,,,,,,0,0,0,,82,64,69,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/10/2002,Florida,Broward,,,,,,0,0,0,,84,68,77,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/11/2002,Florida,Broward,,,,,,0,0,0,,85,68,79,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/12/2002,Florida,Broward,,,,,,0,0,0,,87,76,79,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/13/2002,Florida,Broward,,,,,,0,0,0,,89,72,73,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/14/2002,Florida,Broward,,,,,,0,0,0,,74,60,60,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/15/2002,Florida,Broward,,,,,,0,0,0,,78,60,72,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/16/2002,Florida,Broward,,,,,,0.1,0,0,,83,70,78,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/17/2002,Florida,Broward,,,,,,2.4,0,0,,84,70,71,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/18/2002,Florida,Broward,,,,,,0.11,0,0,,71,49,49,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/19/2002,Florida,Broward,,,,,,0,0,0,,74,48,59,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/20/2002,Florida,Broward,,,,,,0,0,0,,78,59,75,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/21/2002,Florida,Broward,,,,,,0.4,0,0,,80,70,71,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/22/2002,Florida,Broward,,,,,,0.01,0,0,,81,69,69,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/23/2002,Florida,Broward,,,,,,0,0,0,,80,53,54,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/24/2002,Florida,Broward,,,,,,0,0,0,,79,54,58,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/25/2002,Florida,Broward,,,,,,0,0,0,,77,58,71,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/26/2002,Florida,Broward,,,,,,0.09,0,0,,79,58,71,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/27/2002,Florida,Broward,,,,,,0,0,0,,82,65,65,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/28/2002,Florida,Broward,,,,,,0,0,0,,80,64,64,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/29/2002,Florida,Broward,,,,,,0,0,0,,80,52,52,,,,,,,,,,,,,,,,,,,,,
USC00084050,11/30/2002,Florida,Broward,,,,,,0,0,0,,71,51,54,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/1/2002,Florida,Broward,,,,,,0,0,0,,74,52,58,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/2/2002,Florida,Broward,,,,,,0,0,0,,78,56,64,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/3/2002,Florida,Broward,,,,,,0,0,0,,78,63,66,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/4/2002,Florida,Broward,,,,,,0,0,0,,79,66,75,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/5/2002,Florida,Broward,,,,,,0,0,0,,79,73,77,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/6/2002,Florida,Broward,,,,,,0,0,0,,86,72,72,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/7/2002,Florida,Broward,,,,,,0.03,0,0,,81,61,61,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/8/2002,Florida,Broward,,,,,,0,0,0,,78,61,74,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/9/2002,Florida,Broward,,,,,,3.36,0,0,,78,68,74,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/10/2002,Florida,Broward,,,,,,3.9,0,0,,79,69,71,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/11/2002,Florida,Broward,,,,,,0.05,0,0,,82,69,70,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/12/2002,Florida,Broward,,,,,,0,0,0,,82,69,76,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/13/2002,Florida,Broward,,,,,,0,0,0,,83,76,77,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/14/2002,Florida,Broward,,,,,,0.06,0,0,,85,64,64,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/15/2002,Florida,Broward,,,,,,0,0,0,,75,52,52,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/16/2002,Florida,Broward,,,,,,0,0,0,,68,48,48,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/17/2002,Florida,Broward,,,,,,0,0,0,,68,48,53,,,,,,,,,,,,,,,,,,,,,
USC00084050,12/18/2002,Florida,Broward,,,,,,0,0,0,,74,53,63,,,,,,,,,,,,,,,,,,,,,
